user_id,order_id,product_id,order_date,return_date,return_reason,image_uploaded,return_message_sentiment,user_return_count,return_approval_time,return_outcome,is_abuse,return_message_sentiment_norm,user_return_count_norm
U00806,O000026,P00329,2023-03-18,2023-03-31,accidental purchase,1,0.02,3,1,approved,0,0.51,0.3333333333333333
U00386,O000027,P02592,2023-11-08,2023-11-13,wrong item delivered,1,0.47,1,7,approved,0,0.735,0.1111111111111111
U00192,O000028,P02831,2023-04-22,2023-05-02,poor quality,0,-0.41,4,8,manual review,0,0.29500000000000004,0.4444444444444444
U00956,O000029,P03045,2023-12-15,2023-12-25,item damaged during delivery,1,0.06,2,11,approved,0,0.53,0.2222222222222222
U00277,O000030,P01421,2023-10-24,2023-10-25,incorrect quantity,0,-0.51,1,2,manual review,0,0.245,0.1111111111111111
U00161,O000031,P03402,2023-06-19,2023-06-27,poor quality,0,-0.2,4,14,approved,0,0.4,0.4444444444444444
U00460,O000032,P02893,2023-01-06,2023-01-14,received late,0,1.0,4,4,approved,0,1.0,0.4444444444444444
U00314,O000033,P00655,2023-07-16,2023-07-24,changed mind,1,0.67,1,3,approved,0,0.835,0.1111111111111111
U00022,O000034,P00760,2023-04-08,2023-04-22,unwanted gift,1,0.33,2,9,approved,0,0.665,0.2222222222222222
U00253,O000035,P01799,2023-11-25,2023-12-05,item damaged during delivery,1,0.18,1,12,approved,0,0.59,0.1111111111111111
U00748,O000036,P02972,2023-08-18,2023-08-22,accidental purchase,1,-0.78,0,9,rejected,1,0.10999999999999999,0.0
U00857,O000037,P04512,2023-06-17,2023-06-30,incorrect quantity,0,-0.09,1,11,approved,0,0.455,0.1111111111111111
U00561,O000038,P03427,2023-10-24,2023-11-07,defective product,1,0.46,1,7,approved,0,0.73,0.1111111111111111
U00475,O000039,P00255,2023-09-22,2023-10-01,item damaged during delivery,1,-0.22,2,7,approved,0,0.39,0.2222222222222222
U00059,O000040,P03824,2023-01-08,2023-01-18,not satisfied with the product,1,0.18,3,10,approved,0,0.59,0.3333333333333333
U00511,O000041,P01877,2023-06-21,2023-06-24,item damaged during delivery,1,-0.5,3,4,manual review,0,0.25,0.3333333333333333
U00682,O000042,P02758,2023-12-26,2024-01-02,wrong item delivered,1,-0.54,0,4,manual review,0,0.22999999999999998,0.0
U00476,O000043,P02625,2023-07-14,2023-07-20,not satisfied with the product,1,1.0,1,14,approved,0,1.0,0.1111111111111111
U00700,O000044,P04996,2023-09-26,2023-10-05,size issue,0,1.0,1,13,approved,0,1.0,0.1111111111111111
U00976,O000045,P04122,2023-01-19,2023-01-31,defective product,1,-0.04,3,0,approved,0,0.48,0.3333333333333333
U00783,O000046,P03005,2023-12-20,2024-01-03,size issue,1,-0.39,2,4,manual review,0,0.305,0.2222222222222222
U00190,O000047,P04517,2023-12-18,2023-12-31,received late,1,-0.47,0,0,manual review,0,0.265,0.0
U00958,O000048,P03735,2023-02-18,2023-02-22,unwanted gift,1,0.2,0,11,approved,0,0.6,0.0
U00687,O000049,P01245,2023-12-22,2023-12-26,not satisfied with the product,1,0.97,2,13,approved,0,0.985,0.2222222222222222
U00958,O000050,P01009,2023-12-04,2023-12-10,incorrect quantity,0,-0.35,2,3,manual review,0,0.325,0.2222222222222222
U00563,O000051,P04315,2023-06-07,2023-06-15,poor quality,1,0.1,1,6,approved,0,0.55,0.1111111111111111
U00876,O000052,P01511,2023-03-07,2023-03-10,product not as described,1,0.07,2,10,approved,0,0.535,0.2222222222222222
U00567,O000053,P01960,2023-12-13,2023-12-24,product not as described,0,0.83,1,11,approved,0,0.915,0.1111111111111111
U00244,O000054,P02509,2023-02-28,2023-03-08,poor quality,0,0.14,0,10,approved,0,0.5700000000000001,0.0
U00832,O000055,P04759,2023-11-05,2023-11-19,received late,1,-0.7,1,1,manual review,0,0.15000000000000002,0.1111111111111111
U00505,O000056,P02683,2023-11-04,2023-11-12,wrong color,1,0.38,1,13,approved,0,0.69,0.1111111111111111
U00131,O000057,P00990,2023-12-03,2023-12-17,duplicate order,0,0.09,1,14,approved,0,0.545,0.1111111111111111
U00485,O000058,P04285,2023-06-08,2023-06-22,accidental purchase,1,-0.43,3,0,manual review,0,0.28500000000000003,0.3333333333333333
U00819,O000059,P00255,2023-09-28,2023-10-05,size issue,1,0.53,5,1,approved,0,0.765,0.5555555555555556
U00647,O000060,P04164,2023-05-01,2023-05-08,wrong color,1,-0.16,0,6,approved,0,0.42,0.0
U00021,O000061,P04712,2023-09-11,2023-09-16,size issue,1,0.17,0,2,approved,0,0.585,0.0
U00841,O000062,P04970,2023-09-18,2023-09-20,not satisfied with the product,1,0.07,2,4,approved,0,0.535,0.2222222222222222
U00167,O000063,P04453,2023-05-15,2023-05-27,wrong item delivered,1,-0.15,2,0,approved,0,0.425,0.2222222222222222
U00274,O000064,P00256,2023-10-01,2023-10-15,poor quality,1,-0.41,3,9,manual review,0,0.29500000000000004,0.3333333333333333
U00388,O000065,P01008,2023-02-25,2023-02-27,item damaged during delivery,0,0.28,1,9,approved,0,0.64,0.1111111111111111
U00601,O000066,P01756,2023-11-27,2023-12-10,not satisfied with the product,1,-0.61,4,14,manual review,1,0.195,0.4444444444444444
U00316,O000067,P02572,2023-04-06,2023-04-18,incorrect quantity,1,0.46,2,9,approved,0,0.73,0.2222222222222222
U00014,O000068,P03909,2023-04-24,2023-05-04,changed mind,1,-0.43,0,7,manual review,0,0.28500000000000003,0.0
U00242,O000069,P02998,2023-12-23,2024-01-04,not satisfied with the product,0,-0.58,4,3,manual review,1,0.21000000000000002,0.4444444444444444
U00777,O000070,P02804,2023-01-28,2023-02-05,accidental purchase,1,0.7,3,12,approved,0,0.85,0.3333333333333333
U00346,O000071,P03766,2023-11-02,2023-11-13,received late,0,0.05,3,9,approved,0,0.525,0.3333333333333333
U00565,O000072,P04380,2023-01-02,2023-01-08,wrong color,1,-0.95,0,1,rejected,1,0.025000000000000022,0.0
U00898,O000073,P03384,2023-07-31,2023-08-08,poor quality,1,-0.01,4,7,approved,0,0.495,0.4444444444444444
U00340,O000074,P00099,2023-03-09,2023-03-12,unwanted gift,0,0.31,5,9,approved,0,0.655,0.5555555555555556
U00092,O000075,P00197,2023-05-08,2023-05-09,poor quality,0,0.32,2,13,approved,0,0.66,0.2222222222222222
U00367,O000076,P02530,2023-11-29,2023-12-12,duplicate order,1,-0.39,1,4,manual review,0,0.305,0.1111111111111111
U00956,O000077,P00878,2023-01-24,2023-01-30,changed mind,1,-0.32,3,1,manual review,0,0.33999999999999997,0.3333333333333333
U00455,O000078,P01869,2023-09-10,2023-09-12,defective product,1,0.08,3,8,approved,0,0.54,0.3333333333333333
U00428,O000079,P02666,2023-08-18,2023-08-30,defective product,1,0.52,4,5,approved,0,0.76,0.4444444444444444
U00509,O000080,P01389,2023-06-25,2023-07-04,missing accessories,1,-0.66,2,7,manual review,0,0.16999999999999998,0.2222222222222222
U00776,O000081,P02416,2023-08-09,2023-08-14,duplicate order,1,-0.63,2,14,manual review,0,0.185,0.2222222222222222
U00943,O000082,P00570,2023-02-05,2023-02-10,wrong color,0,0.69,2,11,approved,0,0.845,0.2222222222222222
U00035,O000083,P02638,2023-01-02,2023-01-15,not satisfied with the product,0,0.61,0,11,approved,0,0.8049999999999999,0.0
U00206,O000084,P01066,2023-12-27,2024-01-06,unwanted gift,1,-0.47,3,1,manual review,0,0.265,0.3333333333333333
U00081,O000085,P00422,2023-10-01,2023-10-09,not satisfied with the product,1,-0.19,5,12,approved,0,0.405,0.5555555555555556
U00932,O000086,P02884,2023-06-26,2023-07-02,defective product,0,1.0,2,4,approved,0,1.0,0.2222222222222222
U00562,O000087,P01205,2023-09-21,2023-09-24,duplicate order,1,0.44,4,10,approved,0,0.72,0.4444444444444444
U00872,O000088,P00545,2023-07-05,2023-07-14,size issue,1,-0.02,1,2,approved,0,0.49,0.1111111111111111
U00388,O000089,P04167,2023-01-15,2023-01-25,not satisfied with the product,1,0.57,1,7,approved,0,0.7849999999999999,0.1111111111111111
U00002,O000090,P03640,2023-10-06,2023-10-10,product not as described,1,-0.24,2,0,approved,0,0.38,0.2222222222222222
U00390,O000091,P01224,2023-07-13,2023-07-23,product not as described,1,0.08,4,8,approved,0,0.54,0.4444444444444444
U00566,O000092,P03173,2023-07-17,2023-07-21,poor quality,0,-0.15,1,5,approved,0,0.425,0.1111111111111111
U00106,O000093,P00768,2023-12-15,2023-12-27,product not as described,1,0.35,4,12,approved,0,0.675,0.4444444444444444
U00772,O000094,P03658,2023-11-01,2023-11-14,accidental purchase,1,0.35,3,0,approved,0,0.675,0.3333333333333333
U00822,O000095,P00655,2023-03-05,2023-03-07,defective product,1,0.11,0,2,approved,0,0.555,0.0
U00477,O000096,P02447,2023-10-17,2023-10-20,accidental purchase,0,0.25,2,12,approved,0,0.625,0.2222222222222222
U00703,O000097,P00221,2023-01-18,2023-01-22,wrong item delivered,0,0.57,1,7,approved,0,0.7849999999999999,0.1111111111111111
U00402,O000098,P03667,2023-03-05,2023-03-12,defective product,1,0.23,4,7,approved,0,0.615,0.4444444444444444
U00730,O000099,P04278,2023-12-28,2024-01-10,changed mind,0,0.11,1,2,approved,0,0.555,0.1111111111111111
U00556,O000100,P04403,2023-11-26,2023-11-29,received late,1,0.21,2,9,approved,0,0.605,0.2222222222222222
U00162,O000101,P02570,2023-12-24,2024-01-01,missing accessories,1,0.61,2,7,approved,0,0.8049999999999999,0.2222222222222222
U00202,O000102,P01014,2023-09-08,2023-09-16,duplicate order,1,-0.46,3,14,manual review,0,0.27,0.3333333333333333
U00958,O000103,P02052,2023-01-17,2023-01-27,poor quality,1,0.21,5,5,approved,0,0.605,0.5555555555555556
U00996,O000104,P03986,2023-05-21,2023-06-01,duplicate order,1,-0.94,3,14,rejected,1,0.030000000000000027,0.3333333333333333
U00270,O000105,P04944,2023-11-04,2023-11-06,received late,1,-0.14,1,6,approved,0,0.43,0.1111111111111111
U00863,O000106,P04900,2023-11-16,2023-11-20,received late,1,0.94,3,1,approved,0,0.97,0.3333333333333333
U00816,O000107,P04311,2023-09-02,2023-09-10,incorrect quantity,1,-0.4,1,0,manual review,0,0.3,0.1111111111111111
U00271,O000108,P03020,2023-10-17,2023-10-18,received late,1,-0.82,1,10,rejected,1,0.09000000000000002,0.1111111111111111
U00456,O000109,P03682,2023-12-17,2023-12-18,defective product,1,-0.47,3,12,manual review,0,0.265,0.3333333333333333
U00462,O000110,P01444,2023-03-28,2023-04-11,incorrect quantity,1,0.36,1,12,approved,0,0.6799999999999999,0.1111111111111111
U00727,O000111,P04197,2023-07-18,2023-08-01,missing accessories,1,-0.07,3,0,approved,0,0.46499999999999997,0.3333333333333333
U00252,O000112,P03011,2023-12-24,2023-12-28,not satisfied with the product,0,-0.5,0,13,manual review,0,0.25,0.0
U00702,O000113,P00573,2023-06-10,2023-06-21,changed mind,0,0.6,1,2,approved,0,0.8,0.1111111111111111
U00296,O000114,P01333,2023-05-20,2023-05-22,item damaged during delivery,1,0.21,3,6,approved,0,0.605,0.3333333333333333
U00725,O000115,P04754,2023-03-17,2023-03-18,received late,1,-0.58,0,8,manual review,0,0.21000000000000002,0.0
U00720,O000116,P04003,2023-01-19,2023-01-27,unwanted gift,1,-0.11,5,14,approved,0,0.445,0.5555555555555556
U00749,O000117,P03135,2023-11-26,2023-11-28,poor quality,0,1.0,1,12,approved,0,1.0,0.1111111111111111
U00338,O000118,P04087,2023-02-19,2023-02-23,defective product,1,-0.15,4,1,approved,0,0.425,0.4444444444444444
U00879,O000119,P00226,2023-08-20,2023-08-23,changed mind,0,-0.85,0,5,rejected,1,0.07500000000000001,0.0
U00053,O000120,P04201,2023-10-22,2023-10-24,received late,1,0.24,1,7,approved,0,0.62,0.1111111111111111
U00792,O000121,P01998,2023-01-12,2023-01-20,wrong item delivered,0,0.19,1,10,approved,0,0.595,0.1111111111111111
U00922,O000122,P00772,2023-12-01,2023-12-04,item damaged during delivery,1,0.67,0,8,approved,0,0.835,0.0
U00217,O000123,P04525,2023-01-15,2023-01-24,not satisfied with the product,0,-0.2,5,9,approved,0,0.4,0.5555555555555556
U00764,O000124,P00434,2023-01-28,2023-02-07,poor quality,1,0.22,3,11,approved,0,0.61,0.3333333333333333
U00188,O000125,P03100,2023-10-19,2023-10-24,unwanted gift,0,0.12,3,2,approved,0,0.56,0.3333333333333333
U00380,O000126,P02730,2023-11-17,2023-11-26,not satisfied with the product,1,-0.0,3,4,approved,0,0.5,0.3333333333333333
U00493,O000127,P03408,2023-09-07,2023-09-10,item damaged during delivery,1,0.16,1,4,approved,0,0.58,0.1111111111111111
U00041,O000128,P03141,2023-04-08,2023-04-20,wrong item delivered,0,0.3,1,11,approved,0,0.65,0.1111111111111111
U00157,O000129,P00866,2023-10-30,2023-11-04,item damaged during delivery,0,0.28,4,10,approved,0,0.64,0.4444444444444444
U00015,O000130,P02794,2023-12-03,2023-12-17,unwanted gift,1,0.46,2,7,approved,0,0.73,0.2222222222222222
U00813,O000131,P02912,2023-02-08,2023-02-18,wrong color,1,-1.0,1,0,rejected,1,0.0,0.1111111111111111
U00065,O000132,P02416,2023-02-07,2023-02-13,unwanted gift,0,-0.75,2,10,rejected,1,0.125,0.2222222222222222
U00857,O000133,P00251,2023-10-27,2023-11-05,wrong color,0,0.11,1,2,approved,0,0.555,0.1111111111111111
U00839,O000134,P04952,2023-06-28,2023-07-06,unwanted gift,1,0.06,2,5,approved,0,0.53,0.2222222222222222
U00521,O000135,P03758,2023-04-07,2023-04-09,missing accessories,1,-0.51,2,5,manual review,0,0.245,0.2222222222222222
U00344,O000136,P04657,2023-10-09,2023-10-11,item damaged during delivery,0,-0.17,1,3,approved,0,0.415,0.1111111111111111
U00129,O000137,P00919,2023-08-26,2023-09-08,not satisfied with the product,1,-0.41,2,14,manual review,0,0.29500000000000004,0.2222222222222222
U00648,O000138,P01174,2023-06-13,2023-06-18,item damaged during delivery,0,0.29,1,4,approved,0,0.645,0.1111111111111111
U00472,O000139,P03204,2023-04-07,2023-04-12,accidental purchase,0,-0.45,2,9,manual review,0,0.275,0.2222222222222222
U00063,O000140,P00433,2023-09-14,2023-09-19,missing accessories,0,0.11,5,12,approved,0,0.555,0.5555555555555556
U00139,O000141,P00836,2023-11-05,2023-11-09,accidental purchase,0,0.51,1,2,approved,0,0.755,0.1111111111111111
U00499,O000142,P02247,2023-09-19,2023-09-27,item damaged during delivery,0,-0.44,1,14,manual review,0,0.28,0.1111111111111111
U00593,O000143,P02263,2023-10-20,2023-10-31,accidental purchase,0,-0.67,3,12,manual review,0,0.16499999999999998,0.3333333333333333
U00392,O000144,P00898,2023-09-15,2023-09-20,changed mind,0,-0.38,4,3,manual review,0,0.31,0.4444444444444444
U00675,O000145,P03633,2023-09-06,2023-09-07,size issue,1,-0.44,2,13,manual review,0,0.28,0.2222222222222222
U00419,O000146,P04568,2023-09-02,2023-09-12,poor quality,1,0.02,1,13,approved,0,0.51,0.1111111111111111
U00289,O000147,P03816,2023-09-08,2023-09-22,unwanted gift,1,-0.85,3,9,rejected,1,0.07500000000000001,0.3333333333333333
U00379,O000148,P00247,2023-05-03,2023-05-08,changed mind,0,0.8,0,9,approved,0,0.9,0.0
U00773,O000149,P02430,2023-11-21,2023-11-22,incorrect quantity,1,-0.63,3,0,manual review,0,0.185,0.3333333333333333
U00490,O000150,P00991,2023-06-18,2023-06-22,product not as described,1,-0.67,4,5,manual review,1,0.16499999999999998,0.4444444444444444
U00231,O000151,P03311,2023-06-24,2023-06-25,wrong item delivered,1,0.03,1,4,approved,0,0.515,0.1111111111111111
U00041,O000152,P00927,2023-09-26,2023-10-02,item damaged during delivery,0,-0.06,3,13,approved,0,0.47,0.3333333333333333
U00028,O000153,P03439,2023-07-23,2023-07-29,wrong color,0,0.69,4,13,approved,0,0.845,0.4444444444444444
U00135,O000154,P02608,2023-11-21,2023-11-22,missing accessories,0,-0.14,3,4,approved,0,0.43,0.3333333333333333
U00201,O000155,P01075,2023-03-07,2023-03-19,unwanted gift,1,-0.14,2,11,approved,0,0.43,0.2222222222222222
U00840,O000156,P04023,2023-11-11,2023-11-19,received late,1,0.32,2,12,approved,0,0.66,0.2222222222222222
U00780,O000157,P03800,2023-11-20,2023-12-04,wrong color,1,0.47,0,3,approved,0,0.735,0.0
U00930,O000158,P04785,2023-02-28,2023-03-04,not satisfied with the product,1,-0.97,2,8,rejected,1,0.015000000000000013,0.2222222222222222
U00033,O000159,P03152,2023-08-07,2023-08-09,poor quality,1,0.03,2,10,approved,0,0.515,0.2222222222222222
U00048,O000160,P03439,2023-09-23,2023-10-06,defective product,1,1.0,2,12,approved,0,1.0,0.2222222222222222
U00503,O000161,P04574,2023-05-21,2023-06-04,missing accessories,1,-0.31,3,10,manual review,0,0.345,0.3333333333333333
U00407,O000162,P03492,2023-08-24,2023-08-25,size issue,1,0.08,2,8,approved,0,0.54,0.2222222222222222
U00574,O000163,P00707,2023-08-06,2023-08-17,unwanted gift,1,0.51,5,12,approved,0,0.755,0.5555555555555556
U00728,O000164,P03065,2023-01-15,2023-01-18,wrong color,1,0.24,5,4,approved,0,0.62,0.5555555555555556
U00805,O000165,P00754,2023-10-29,2023-11-05,wrong color,1,-0.53,1,6,manual review,0,0.235,0.1111111111111111
U00099,O000166,P00588,2023-05-18,2023-05-28,missing accessories,1,-0.03,3,2,approved,0,0.485,0.3333333333333333
U00684,O000167,P01335,2023-08-20,2023-08-31,poor quality,1,-0.62,1,14,manual review,0,0.19,0.1111111111111111
U00872,O000168,P01848,2023-03-30,2023-04-09,wrong item delivered,1,-0.53,2,0,manual review,0,0.235,0.2222222222222222
U00726,O000169,P03935,2023-03-18,2023-03-26,size issue,1,0.55,3,0,approved,0,0.775,0.3333333333333333
U00987,O000170,P03927,2023-05-16,2023-05-21,defective product,0,0.43,1,2,approved,0,0.715,0.1111111111111111
U00547,O000171,P03318,2023-04-20,2023-04-27,changed mind,1,0.89,2,2,approved,0,0.9450000000000001,0.2222222222222222
U00961,O000172,P04021,2023-12-19,2023-12-21,not satisfied with the product,1,0.46,0,4,approved,0,0.73,0.0
U00739,O000173,P03156,2023-10-28,2023-11-09,product not as described,0,-0.07,2,7,approved,0,0.46499999999999997,0.2222222222222222
U00613,O000174,P04303,2023-04-01,2023-04-13,changed mind,1,-0.51,2,5,manual review,0,0.245,0.2222222222222222
U00943,O000175,P02199,2023-07-09,2023-07-13,not satisfied with the product,1,0.7,1,7,approved,0,0.85,0.1111111111111111
U00462,O000176,P00165,2023-03-14,2023-03-20,missing accessories,1,0.31,1,6,approved,0,0.655,0.1111111111111111
U00643,O000177,P01999,2023-06-22,2023-07-04,defective product,1,0.4,3,0,approved,0,0.7,0.3333333333333333
U00769,O000178,P03058,2023-02-04,2023-02-16,wrong item delivered,1,0.29,1,13,approved,0,0.645,0.1111111111111111
U00005,O000179,P02085,2023-07-29,2023-08-10,not satisfied with the product,1,0.59,3,9,approved,0,0.7949999999999999,0.3333333333333333
U00218,O000180,P04429,2023-10-25,2023-11-06,poor quality,0,-0.76,2,14,rejected,1,0.12,0.2222222222222222
U00503,O000181,P00403,2023-05-13,2023-05-27,wrong color,1,-0.61,2,7,manual review,0,0.195,0.2222222222222222
U00767,O000182,P00414,2023-10-10,2023-10-22,missing accessories,0,-0.44,1,0,manual review,0,0.28,0.1111111111111111
U00398,O000183,P00045,2023-07-17,2023-07-29,received late,0,0.18,2,4,approved,0,0.59,0.2222222222222222
U00871,O000184,P04158,2023-02-01,2023-02-06,size issue,0,-0.23,0,2,approved,0,0.385,0.0
U00795,O000185,P02468,2023-05-16,2023-05-22,size issue,0,0.56,1,6,approved,0,0.78,0.1111111111111111
U00393,O000186,P00868,2023-09-05,2023-09-17,defective product,1,-0.01,0,4,approved,0,0.495,0.0
U00207,O000187,P00019,2023-12-25,2023-12-27,duplicate order,0,1.0,0,1,approved,0,1.0,0.0
U00015,O000188,P00365,2023-12-07,2023-12-14,duplicate order,1,0.86,1,14,approved,0,0.9299999999999999,0.1111111111111111
U00858,O000189,P03833,2023-05-26,2023-06-03,missing accessories,0,0.07,2,0,approved,0,0.535,0.2222222222222222
U00554,O000190,P00580,2023-11-30,2023-12-13,not satisfied with the product,1,-0.68,0,13,manual review,0,0.15999999999999998,0.0
U00892,O000191,P00546,2023-05-23,2023-06-06,missing accessories,1,0.34,3,9,approved,0,0.67,0.3333333333333333
U00461,O000192,P04151,2023-08-22,2023-09-02,missing accessories,0,-0.56,2,5,manual review,0,0.21999999999999997,0.2222222222222222
U00691,O000193,P04874,2023-02-13,2023-02-22,wrong color,1,-0.49,3,5,manual review,0,0.255,0.3333333333333333
U00575,O000194,P03040,2023-02-01,2023-02-07,missing accessories,1,-0.2,0,13,approved,0,0.4,0.0
U00864,O000195,P04138,2023-08-19,2023-08-26,item damaged during delivery,1,-0.21,2,7,approved,0,0.395,0.2222222222222222
U00743,O000196,P04045,2023-01-28,2023-02-10,incorrect quantity,0,0.28,1,8,approved,0,0.64,0.1111111111111111
U00241,O000197,P04327,2023-06-09,2023-06-21,wrong color,1,0.16,3,12,approved,0,0.58,0.3333333333333333
U00564,O000198,P00453,2023-11-29,2023-12-12,duplicate order,1,-0.5,1,1,manual review,0,0.25,0.1111111111111111
U00096,O000199,P03962,2023-07-26,2023-07-27,poor quality,0,-0.15,2,12,approved,0,0.425,0.2222222222222222
U00900,O000200,P01382,2023-01-18,2023-01-27,incorrect quantity,1,-0.68,3,4,manual review,0,0.15999999999999998,0.3333333333333333
U00734,O000201,P01468,2023-04-13,2023-04-19,size issue,1,0.2,4,4,approved,0,0.6,0.4444444444444444
U00485,O000202,P02739,2023-03-11,2023-03-23,wrong item delivered,0,-0.93,1,14,rejected,1,0.034999999999999976,0.1111111111111111
U00407,O000203,P01217,2023-04-29,2023-05-03,received late,1,-0.12,0,13,approved,0,0.44,0.0
U00231,O000204,P00881,2023-05-19,2023-05-29,item damaged during delivery,1,-0.32,2,9,manual review,0,0.33999999999999997,0.2222222222222222
U00749,O000205,P03815,2023-06-09,2023-06-18,duplicate order,1,0.27,2,7,approved,0,0.635,0.2222222222222222
U00655,O000206,P03150,2023-08-20,2023-09-01,wrong item delivered,1,-0.4,1,8,manual review,0,0.3,0.1111111111111111
U00171,O000207,P00085,2023-05-28,2023-05-29,defective product,1,-0.42,0,4,manual review,0,0.29000000000000004,0.0
U00541,O000208,P04145,2023-12-19,2023-12-21,not satisfied with the product,1,0.2,5,4,approved,0,0.6,0.5555555555555556
U00036,O000209,P01169,2023-08-31,2023-09-03,wrong item delivered,1,0.22,3,14,approved,0,0.61,0.3333333333333333
U00525,O000210,P04165,2023-02-04,2023-02-05,missing accessories,1,-0.52,0,2,manual review,0,0.24,0.0
U00160,O000211,P03130,2023-11-21,2023-11-23,accidental purchase,1,0.29,5,13,approved,0,0.645,0.5555555555555556
U00839,O000212,P03646,2023-12-21,2023-12-23,poor quality,0,1.0,3,5,approved,0,1.0,0.3333333333333333
U00699,O000213,P02527,2023-08-27,2023-09-03,incorrect quantity,0,-0.24,1,6,approved,0,0.38,0.1111111111111111
U00243,O000214,P02868,2023-11-30,2023-12-10,duplicate order,1,-0.61,1,2,manual review,0,0.195,0.1111111111111111
U00086,O000215,P03517,2023-05-29,2023-06-11,accidental purchase,1,0.03,2,14,approved,0,0.515,0.2222222222222222
U00796,O000216,P03368,2023-04-21,2023-04-27,defective product,0,-0.69,4,1,manual review,0,0.15500000000000003,0.4444444444444444
U00578,O000217,P02195,2023-01-17,2023-01-29,missing accessories,1,-0.13,1,13,approved,0,0.435,0.1111111111111111
U00682,O000218,P03556,2023-08-14,2023-08-23,item damaged during delivery,0,-0.25,0,13,approved,0,0.375,0.0
U00557,O000219,P00446,2023-05-20,2023-06-03,size issue,1,0.35,0,11,approved,0,0.675,0.0
U00574,O000220,P03627,2023-05-24,2023-05-29,received late,0,-0.88,3,12,rejected,1,0.06,0.3333333333333333
U00953,O000221,P04017,2023-09-17,2023-09-26,product not as described,1,-0.79,1,1,rejected,1,0.10499999999999998,0.1111111111111111
U00646,O000222,P03876,2023-08-05,2023-08-19,changed mind,1,0.19,4,8,approved,0,0.595,0.4444444444444444
U00796,O000223,P03338,2023-06-11,2023-06-24,received late,0,0.27,1,5,approved,0,0.635,0.1111111111111111
U00028,O000224,P00262,2023-04-02,2023-04-14,not satisfied with the product,0,-1.0,3,13,rejected,1,0.0,0.3333333333333333
U00620,O000225,P01849,2023-06-23,2023-07-03,received late,1,0.76,2,1,approved,0,0.88,0.2222222222222222
